ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:29:38,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:38,facultylens-perf-worker,0.06%,33.33MiB / 7.317GiB,0.44%,210kB / 1.76MB,10.6MB / 709kB
17:29:38,facultylens-perf-app,952.48%,140.1MiB / 7.317GiB,1.87%,734MB / 427MB,14.3MB / 1.09MB
17:29:38,facultylens-perf-nginx,5.01%,17.59MiB / 7.317GiB,0.23%,1.14GB / 1.17GB,14.1MB / 4.1kB
17:29:38,facultylens-perf-redis,4.82%,31.48MiB / 7.317GiB,0.42%,626MB / 1.6GB,42.6MB / 814MB
17:29:38,facultylens-perf-mysql,519.49%,684.1MiB / 7.317GiB,9.13%,331MB / 1.16GB,54.3MB / 3.22GB
17:29:38,facultylens-perf-ai-service,0.12%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:46,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:46,facultylens-perf-worker,0.00%,33.33MiB / 7.317GiB,0.44%,211kB / 1.77MB,10.6MB / 709kB
17:29:46,facultylens-perf-app,0.80%,201.5MiB / 7.317GiB,2.69%,833MB / 475MB,14.3MB / 1.09MB
17:29:46,facultylens-perf-nginx,0.00%,15.68MiB / 7.317GiB,0.21%,1.17GB / 1.2GB,14.1MB / 4.1kB
17:29:46,facultylens-perf-redis,0.38%,41.19MiB / 7.317GiB,0.55%,636MB / 1.64GB,42.6MB / 823MB
17:29:46,facultylens-perf-mysql,151.33%,699.6MiB / 7.317GiB,9.34%,342MB / 1.22GB,54.3MB / 3.24GB
17:29:46,facultylens-perf-ai-service,0.12%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:53,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:53,facultylens-perf-worker,0.00%,33.33MiB / 7.317GiB,0.44%,213kB / 1.79MB,10.6MB / 709kB
17:29:53,facultylens-perf-app,0.79%,206.6MiB / 7.317GiB,2.76%,916MB / 514MB,14.3MB / 1.09MB
17:29:53,facultylens-perf-nginx,0.00%,15.68MiB / 7.317GiB,0.21%,1.2GB / 1.23GB,14.1MB / 4.1kB
17:29:53,facultylens-perf-redis,0.31%,43.47MiB / 7.317GiB,0.58%,637MB / 1.7GB,42.7MB / 824MB
17:29:53,facultylens-perf-mysql,0.51%,700.1MiB / 7.317GiB,9.34%,348MB / 1.24GB,54.3MB / 3.26GB
17:29:53,facultylens-perf-ai-service,0.13%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:30:00,facultylens-perf-scheduler,0.14%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:30:00,facultylens-perf-worker,0.13%,33.33MiB / 7.317GiB,0.44%,215kB / 1.8MB,10.6MB / 709kB
17:30:00,facultylens-perf-app,566.65%,146.1MiB / 7.317GiB,1.95%,1.04GB / 573MB,14.3MB / 1.09MB
17:30:00,facultylens-perf-nginx,7.19%,16.27MiB / 7.317GiB,0.22%,1.24GB / 1.27GB,14.1MB / 4.1kB
17:30:00,facultylens-perf-redis,10.24%,43.8MiB / 7.317GiB,0.58%,640MB / 1.79GB,42.7MB / 825MB
17:30:00,facultylens-perf-mysql,314.80%,700.9MiB / 7.317GiB,9.36%,357MB / 1.27GB,54.3MB / 3.3GB
17:30:00,facultylens-perf-ai-service,0.14%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:30:08,facultylens-perf-scheduler,0.08%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:30:08,facultylens-perf-worker,0.00%,33.33MiB / 7.317GiB,0.44%,216kB / 1.81MB,10.6MB / 709kB
17:30:08,facultylens-perf-app,617.39%,149.4MiB / 7.317GiB,1.99%,1.16GB / 633MB,14.5MB / 1.42MB
17:30:08,facultylens-perf-nginx,17.40%,16.4MiB / 7.317GiB,0.22%,1.3GB / 1.33GB,14.1MB / 4.1kB
17:30:08,facultylens-perf-redis,9.65%,45.39MiB / 7.317GiB,0.61%,643MB / 1.87GB,42.7MB / 827MB
17:30:08,facultylens-perf-mysql,405.82%,702.9MiB / 7.317GiB,9.38%,368MB / 1.3GB,54.3MB / 3.32GB
