ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
16:58:48,facultylens-perf-worker,0.00%,33.02MiB / 7.317GiB,0.44%,361kB / 3.04MB,32.3MB / 709kB
16:58:48,facultylens-perf-scheduler,0.09%,42.51MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:58:48,facultylens-perf-app,6.33%,59.59MiB / 7.317GiB,0.80%,1.24GB / 992MB,3.25MB / 1.81MB
16:58:48,facultylens-perf-nginx,0.08%,15.21MiB / 7.317GiB,0.20%,540MB / 551MB,12.8MB / 4.1kB
16:58:48,facultylens-perf-redis,0.64%,11.75MiB / 7.317GiB,0.16%,343MB / 704MB,34.2MB / 474MB
16:58:48,facultylens-perf-mysql,7.34%,601.8MiB / 7.317GiB,8.03%,183MB / 577MB,44.2MB / 1.86GB
16:58:48,facultylens-perf-ai-service,0.11%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
16:58:55,facultylens-perf-worker,0.07%,33.02MiB / 7.317GiB,0.44%,362kB / 3.05MB,32.3MB / 709kB
16:58:55,facultylens-perf-scheduler,0.07%,42.51MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:58:55,facultylens-perf-app,0.00%,55.67MiB / 7.317GiB,0.74%,1.24GB / 993MB,3.25MB / 1.81MB
16:58:55,facultylens-perf-nginx,0.00%,15.21MiB / 7.317GiB,0.20%,540MB / 551MB,12.8MB / 4.1kB
16:58:55,facultylens-perf-redis,0.37%,12.25MiB / 7.317GiB,0.16%,343MB / 704MB,34.2MB / 475MB
16:58:55,facultylens-perf-mysql,0.43%,601.8MiB / 7.317GiB,8.03%,183MB / 577MB,44.2MB / 1.87GB
16:58:55,facultylens-perf-ai-service,3.32%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
16:59:02,facultylens-perf-worker,0.07%,33.02MiB / 7.317GiB,0.44%,364kB / 3.07MB,32.3MB / 709kB
16:59:02,facultylens-perf-scheduler,0.07%,42.51MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:59:02,facultylens-perf-app,0.01%,55.67MiB / 7.317GiB,0.74%,1.24GB / 993MB,3.25MB / 1.81MB
16:59:02,facultylens-perf-nginx,0.00%,15.21MiB / 7.317GiB,0.20%,540MB / 551MB,12.8MB / 4.1kB
16:59:02,facultylens-perf-redis,0.38%,12.16MiB / 7.317GiB,0.16%,343MB / 704MB,34.2MB / 475MB
16:59:02,facultylens-perf-mysql,0.42%,601.9MiB / 7.317GiB,8.03%,183MB / 578MB,44.2MB / 1.87GB
16:59:02,facultylens-perf-ai-service,0.11%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
16:59:10,facultylens-perf-worker,0.00%,33.02MiB / 7.317GiB,0.44%,365kB / 3.08MB,32.3MB / 709kB
16:59:10,facultylens-perf-scheduler,0.07%,42.51MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:59:10,facultylens-perf-app,0.00%,55.7MiB / 7.317GiB,0.74%,1.24GB / 994MB,3.25MB / 1.81MB
16:59:10,facultylens-perf-nginx,0.00%,15.22MiB / 7.317GiB,0.20%,541MB / 552MB,12.8MB / 4.1kB
16:59:10,facultylens-perf-redis,0.33%,13.07MiB / 7.317GiB,0.17%,344MB / 705MB,34.2MB / 476MB
16:59:10,facultylens-perf-mysql,0.49%,601.8MiB / 7.317GiB,8.03%,183MB / 578MB,44.2MB / 1.87GB
16:59:10,facultylens-perf-ai-service,0.10%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
16:59:17,facultylens-perf-worker,0.09%,33.04MiB / 7.317GiB,0.44%,367kB / 3.09MB,32.3MB / 709kB
16:59:17,facultylens-perf-scheduler,0.07%,42.52MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
16:59:17,facultylens-perf-app,0.00%,55.68MiB / 7.317GiB,0.74%,1.25GB / 995MB,3.25MB / 1.81MB
16:59:17,facultylens-perf-nginx,0.00%,15.21MiB / 7.317GiB,0.20%,541MB / 552MB,12.8MB / 4.1kB
16:59:17,facultylens-perf-redis,0.37%,13.75MiB / 7.317GiB,0.18%,344MB / 705MB,34.2MB / 476MB
