ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:26:15,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:15,facultylens-perf-worker,0.10%,33.34MiB / 7.317GiB,0.44%,171kB / 1.43MB,10.6MB / 709kB
17:26:15,facultylens-perf-app,34.30%,86.98MiB / 7.317GiB,1.16%,56MB / 106MB,13.8MB / 721kB
17:26:15,facultylens-perf-nginx,0.59%,15.47MiB / 7.317GiB,0.21%,894MB / 913MB,14.1MB / 4.1kB
17:26:15,facultylens-perf-redis,0.92%,15.53MiB / 7.317GiB,0.21%,604MB / 1.15GB,42.1MB / 792MB
17:26:15,facultylens-perf-mysql,23.93%,615.6MiB / 7.317GiB,8.22%,273MB / 946MB,53.3MB / 2.65GB
17:26:15,facultylens-perf-ai-service,0.09%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:26:22,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:22,facultylens-perf-worker,0.10%,33.34MiB / 7.317GiB,0.45%,172kB / 1.44MB,10.6MB / 709kB
17:26:22,facultylens-perf-app,3.69%,79.53MiB / 7.317GiB,1.06%,60MB / 108MB,13.8MB / 721kB
17:26:22,facultylens-perf-nginx,0.00%,15.46MiB / 7.317GiB,0.21%,896MB / 914MB,14.1MB / 4.1kB
17:26:22,facultylens-perf-redis,0.35%,15.77MiB / 7.317GiB,0.21%,604MB / 1.15GB,42.1MB / 792MB
17:26:22,facultylens-perf-mysql,1.86%,615.7MiB / 7.317GiB,8.22%,274MB / 947MB,53.3MB / 2.66GB
17:26:22,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:26:29,facultylens-perf-scheduler,0.06%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:29,facultylens-perf-worker,0.00%,33.34MiB / 7.317GiB,0.44%,173kB / 1.45MB,10.6MB / 709kB
17:26:29,facultylens-perf-app,8.81%,73.38MiB / 7.317GiB,0.98%,65.1MB / 110MB,13.8MB / 721kB
17:26:29,facultylens-perf-nginx,0.45%,15.46MiB / 7.317GiB,0.21%,898MB / 916MB,14.1MB / 4.1kB
17:26:29,facultylens-perf-redis,0.53%,15.97MiB / 7.317GiB,0.21%,604MB / 1.15GB,42.1MB / 793MB
17:26:29,facultylens-perf-mysql,5.94%,615.7MiB / 7.317GiB,8.22%,274MB / 948MB,53.3MB / 2.66GB
17:26:29,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:26:36,facultylens-perf-scheduler,0.06%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:36,facultylens-perf-worker,0.07%,33.34MiB / 7.317GiB,0.44%,175kB / 1.46MB,10.6MB / 709kB
17:26:36,facultylens-perf-app,0.00%,73.63MiB / 7.317GiB,0.98%,74.6MB / 115MB,14MB / 741kB
17:26:36,facultylens-perf-nginx,0.00%,15.46MiB / 7.317GiB,0.21%,901MB / 920MB,14.1MB / 4.1kB
17:26:36,facultylens-perf-redis,0.35%,16.77MiB / 7.317GiB,0.22%,604MB / 1.16GB,42.1MB / 793MB
17:26:36,facultylens-perf-mysql,2.92%,616.4MiB / 7.317GiB,8.23%,275MB / 951MB,53.3MB / 2.67GB
17:26:36,facultylens-perf-ai-service,0.12%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:26:44,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:44,facultylens-perf-worker,0.00%,33.34MiB / 7.317GiB,0.44%,176kB / 1.47MB,10.6MB / 709kB
17:26:44,facultylens-perf-app,0.00%,82.85MiB / 7.317GiB,1.11%,79.5MB / 118MB,14MB / 741kB
17:26:44,facultylens-perf-nginx,0.00%,15.48MiB / 7.317GiB,0.21%,903MB / 922MB,14.1MB / 4.1kB
17:26:44,facultylens-perf-redis,0.30%,16.79MiB / 7.317GiB,0.22%,604MB / 1.16GB,42.1MB / 793MB
17:26:44,facultylens-perf-mysql,0.48%,615.7MiB / 7.317GiB,8.22%,275MB / 952MB,53.3MB / 2.69GB
17:26:44,facultylens-perf-ai-service,0.08%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:26:51,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:51,facultylens-perf-worker,0.00%,33.34MiB / 7.317GiB,0.44%,177kB / 1.49MB,10.6MB / 709kB
17:26:51,facultylens-perf-app,52.89%,81.33MiB / 7.317GiB,1.09%,88.3MB / 122MB,14MB / 741kB
17:26:51,facultylens-perf-nginx,1.61%,15.48MiB / 7.317GiB,0.21%,907MB / 925MB,14.1MB / 4.1kB
17:26:51,facultylens-perf-redis,3.56%,16.26MiB / 7.317GiB,0.22%,605MB / 1.17GB,42.2MB / 793MB
17:26:51,facultylens-perf-mysql,37.68%,616.2MiB / 7.317GiB,8.23%,276MB / 955MB,53.3MB / 2.69GB
17:26:51,facultylens-perf-ai-service,0.10%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:26:58,facultylens-perf-scheduler,0.07%,40.42MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:26:58,facultylens-perf-worker,0.06%,33.34MiB / 7.317GiB,0.45%,179kB / 1.5MB,10.6MB / 709kB
17:26:58,facultylens-perf-app,0.00%,79.63MiB / 7.317GiB,1.06%,92MB / 124MB,14MB / 741kB
17:26:58,facultylens-perf-nginx,0.00%,15.48MiB / 7.317GiB,0.21%,908MB / 926MB,14.1MB / 4.1kB
17:26:58,facultylens-perf-redis,0.32%,16.15MiB / 7.317GiB,0.22%,605MB / 1.17GB,42.2MB / 793MB
17:26:58,facultylens-perf-mysql,0.50%,615.8MiB / 7.317GiB,8.22%,276MB / 956MB,53.3MB / 2.7GB
17:26:58,facultylens-perf-ai-service,0.10%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
