ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:00:30,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,381kB / 3.21MB,32.3MB / 709kB
17:00:30,facultylens-perf-scheduler,0.06%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:00:30,facultylens-perf-app,168.93%,61.01MiB / 7.317GiB,0.81%,1.28GB / 1.03GB,3.25MB / 1.84MB
17:00:30,facultylens-perf-nginx,3.18%,15.54MiB / 7.317GiB,0.21%,560MB / 571MB,12.8MB / 4.1kB
17:00:30,facultylens-perf-redis,2.43%,30.41MiB / 7.317GiB,0.41%,361MB / 724MB,34.3MB / 491MB
17:00:30,facultylens-perf-mysql,175.29%,609.8MiB / 7.317GiB,8.14%,189MB / 603MB,44.2MB / 1.94GB
17:00:30,facultylens-perf-ai-service,0.11%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
17:00:37,facultylens-perf-worker,0.07%,33.01MiB / 7.317GiB,0.44%,382kB / 3.22MB,32.3MB / 709kB
17:00:37,facultylens-perf-scheduler,0.06%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:00:37,facultylens-perf-app,3.95%,62.46MiB / 7.317GiB,0.83%,1.3GB / 1.04GB,3.25MB / 1.84MB
17:00:37,facultylens-perf-nginx,0.00%,15.44MiB / 7.317GiB,0.21%,564MB / 576MB,12.8MB / 4.1kB
17:00:37,facultylens-perf-redis,0.50%,34.62MiB / 7.317GiB,0.46%,364MB / 728MB,34.4MB / 496MB
17:00:37,facultylens-perf-mysql,0.67%,609.3MiB / 7.317GiB,8.13%,190MB / 607MB,44.2MB / 1.96GB
17:00:37,facultylens-perf-ai-service,0.10%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
17:00:44,facultylens-perf-worker,0.07%,33.01MiB / 7.317GiB,0.44%,383kB / 3.23MB,32.3MB / 709kB
17:00:44,facultylens-perf-scheduler,0.07%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:00:44,facultylens-perf-app,0.00%,56.46MiB / 7.317GiB,0.75%,1.3GB / 1.05GB,3.25MB / 1.84MB
17:00:44,facultylens-perf-nginx,0.00%,15.44MiB / 7.317GiB,0.21%,567MB / 579MB,12.8MB / 4.1kB
17:00:44,facultylens-perf-redis,0.32%,34.8MiB / 7.317GiB,0.46%,365MB / 733MB,34.4MB / 497MB
17:00:44,facultylens-perf-mysql,0.46%,609.3MiB / 7.317GiB,8.13%,190MB / 609MB,44.2MB / 1.97GB
17:00:44,facultylens-perf-ai-service,0.08%,427.8MiB / 7.317GiB,5.71%,144MB / 7MB,550MB / 0B
17:00:51,facultylens-perf-worker,0.00%,33.01MiB / 7.317GiB,0.44%,385kB / 3.25MB,32.3MB / 709kB
17:00:51,facultylens-perf-scheduler,0.06%,42.53MiB / 7.317GiB,0.57%,1.97kB / 911B,45.3MB / 709kB
17:00:51,facultylens-perf-app,0.00%,58.39MiB / 7.317GiB,0.78%,1.31GB / 1.05GB,3.25MB / 1.84MB
17:00:51,facultylens-perf-nginx,0.00%,15.45MiB / 7.317GiB,0.21%,570MB / 582MB,12.8MB / 4.1kB
17:00:51,facultylens-perf-redis,0.33%,34.5MiB / 7.317GiB,0.46%,367MB / 738MB,34.4MB / 498MB
