ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:13:40,facultylens-perf-worker,0.07%,32.63MiB / 7.317GiB,0.44%,24.1kB / 184kB,0B / 709kB
17:13:40,facultylens-perf-app,10.26%,82.31MiB / 7.317GiB,1.10%,9.57MB / 4.01MB,1.65MB / 717kB
17:13:40,facultylens-perf-nginx,0.00%,15.47MiB / 7.317GiB,0.21%,865MB / 882MB,12.8MB / 4.1kB
17:13:40,facultylens-perf-redis,0.38%,12.01MiB / 7.317GiB,0.16%,535MB / 1.13GB,35.4MB / 723MB
17:13:40,facultylens-perf-mysql,0.47%,615.5MiB / 7.317GiB,8.22%,267MB / 921MB,44.2MB / 2.5GB
17:13:40,facultylens-perf-ai-service,0.11%,464.9MiB / 7.317GiB,6.21%,144MB / 7.06MB,553MB / 0B
17:13:47,facultylens-perf-scheduler,0.06%,32.29MiB / 7.317GiB,0.43%,1.79kB / 911B,0B / 709kB
17:13:47,facultylens-perf-worker,0.00%,32.62MiB / 7.317GiB,0.44%,25.2kB / 193kB,0B / 709kB
17:13:47,facultylens-perf-app,6.40%,70.8MiB / 7.317GiB,0.94%,10.7MB / 4.43MB,1.65MB / 717kB
17:13:47,facultylens-perf-nginx,0.30%,15.47MiB / 7.317GiB,0.21%,865MB / 882MB,12.8MB / 4.1kB
17:13:47,facultylens-perf-redis,0.53%,11.86MiB / 7.317GiB,0.16%,535MB / 1.13GB,35.4MB / 724MB
17:13:47,facultylens-perf-mysql,6.76%,615.3MiB / 7.317GiB,8.21%,268MB / 921MB,44.2MB / 2.5GB
17:13:47,facultylens-perf-ai-service,0.09%,464.9MiB / 7.317GiB,6.21%,144MB / 7.06MB,553MB / 0B
17:13:54,facultylens-perf-scheduler,0.06%,32.29MiB / 7.317GiB,0.43%,1.79kB / 911B,0B / 709kB
17:13:54,facultylens-perf-worker,0.07%,32.62MiB / 7.317GiB,0.44%,26.6kB / 206kB,0B / 709kB
17:13:54,facultylens-perf-app,0.00%,68.5MiB / 7.317GiB,0.91%,11.3MB / 4.65MB,1.65MB / 717kB
