ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:28:47,facultylens-perf-scheduler,0.10%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:28:47,facultylens-perf-worker,0.08%,33.34MiB / 7.317GiB,0.44%,200kB / 1.68MB,10.6MB / 709kB
17:28:47,facultylens-perf-app,787.71%,387.2MiB / 7.317GiB,5.17%,384MB / 260MB,14MB / 885kB
17:28:47,facultylens-perf-nginx,2.23%,16.52MiB / 7.317GiB,0.22%,1.01GB / 1.03GB,14.1MB / 4.1kB
17:28:47,facultylens-perf-redis,2.91%,24.7MiB / 7.317GiB,0.33%,616MB / 1.36GB,42.4MB / 801MB
17:28:47,facultylens-perf-mysql,666.44%,673.8MiB / 7.317GiB,8.99%,302MB / 1.06GB,54.3MB / 3.01GB
17:28:47,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:28:54,facultylens-perf-scheduler,0.08%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:28:54,facultylens-perf-worker,0.00%,33.34MiB / 7.317GiB,0.44%,201kB / 1.69MB,10.6MB / 709kB
17:28:54,facultylens-perf-app,6.45%,131.5MiB / 7.317GiB,1.76%,421MB / 280MB,14MB / 885kB
17:28:54,facultylens-perf-nginx,23.62%,16.07MiB / 7.317GiB,0.21%,1.04GB / 1.06GB,14.1MB / 4.1kB
17:28:54,facultylens-perf-redis,11.76%,28.39MiB / 7.317GiB,0.38%,619MB / 1.4GB,42.4MB / 805MB
17:28:54,facultylens-perf-mysql,424.47%,675.1MiB / 7.317GiB,9.01%,308MB / 1.08GB,54.3MB / 3.04GB
17:28:54,facultylens-perf-ai-service,0.13%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:01,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:01,facultylens-perf-worker,0.00%,33.33MiB / 7.317GiB,0.44%,203kB / 1.7MB,10.6MB / 709kB
17:29:01,facultylens-perf-app,0.84%,132.1MiB / 7.317GiB,1.76%,503MB / 319MB,14MB / 885kB
17:29:01,facultylens-perf-nginx,0.00%,15.57MiB / 7.317GiB,0.21%,1.06GB / 1.08GB,14.1MB / 4.1kB
17:29:01,facultylens-perf-redis,2.68%,29.56MiB / 7.317GiB,0.39%,621MB / 1.43GB,42.5MB / 806MB
17:29:01,facultylens-perf-mysql,0.52%,674.8MiB / 7.317GiB,9.01%,312MB / 1.1GB,54.3MB / 3.07GB
17:29:01,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:09,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:09,facultylens-perf-worker,0.07%,33.33MiB / 7.317GiB,0.44%,205kB / 1.72MB,10.6MB / 709kB
17:29:09,facultylens-perf-app,20.56%,104.7MiB / 7.317GiB,1.40%,546MB / 340MB,14MB / 885kB
17:29:09,facultylens-perf-nginx,0.95%,15.66MiB / 7.317GiB,0.21%,1.07GB / 1.09GB,14.1MB / 4.1kB
17:29:09,facultylens-perf-redis,0.32%,29.16MiB / 7.317GiB,0.39%,622MB / 1.46GB,42.5MB / 807MB
17:29:09,facultylens-perf-mysql,14.76%,675.1MiB / 7.317GiB,9.01%,315MB / 1.11GB,54.3MB / 3.1GB
17:29:09,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:16,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:16,facultylens-perf-worker,0.00%,33.33MiB / 7.317GiB,0.44%,206kB / 1.72MB,10.6MB / 709kB
17:29:16,facultylens-perf-app,208.76%,104.6MiB / 7.317GiB,1.40%,621MB / 375MB,14.3MB / 1.09MB
17:29:16,facultylens-perf-nginx,6.94%,15.86MiB / 7.317GiB,0.21%,1.1GB / 1.12GB,14.1MB / 4.1kB
17:29:16,facultylens-perf-redis,4.15%,31MiB / 7.317GiB,0.41%,623MB / 1.52GB,42.5MB / 808MB
17:29:16,facultylens-perf-mysql,133.48%,675.9MiB / 7.317GiB,9.02%,321MB / 1.12GB,54.3MB / 3.14GB
17:29:16,facultylens-perf-ai-service,0.11%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:23,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:23,facultylens-perf-worker,0.00%,33.33MiB / 7.317GiB,0.44%,207kB / 1.74MB,10.6MB / 709kB
17:29:23,facultylens-perf-app,0.73%,127.4MiB / 7.317GiB,1.70%,671MB / 399MB,14.3MB / 1.09MB
17:29:23,facultylens-perf-nginx,0.00%,15.6MiB / 7.317GiB,0.21%,1.12GB / 1.14GB,14.1MB / 4.1kB
17:29:23,facultylens-perf-redis,0.34%,31.69MiB / 7.317GiB,0.42%,625MB / 1.56GB,42.5MB / 809MB
17:29:23,facultylens-perf-mysql,208.33%,675.7MiB / 7.317GiB,9.02%,326MB / 1.14GB,54.3MB / 3.16GB
17:29:23,facultylens-perf-ai-service,0.09%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
17:29:31,facultylens-perf-scheduler,0.07%,40.41MiB / 7.317GiB,0.54%,1.79kB / 911B,9.43MB / 709kB
17:29:31,facultylens-perf-worker,0.06%,33.34MiB / 7.317GiB,0.44%,209kB / 1.75MB,10.6MB / 709kB
17:29:31,facultylens-perf-app,36.06%,103.2MiB / 7.317GiB,1.38%,714MB / 420MB,14.3MB / 1.09MB
17:29:31,facultylens-perf-nginx,1.75%,15.65MiB / 7.317GiB,0.21%,1.14GB / 1.16GB,14.1MB / 4.1kB
17:29:31,facultylens-perf-redis,1.58%,32.02MiB / 7.317GiB,0.43%,626MB / 1.59GB,42.6MB / 814MB
17:29:31,facultylens-perf-mysql,35.71%,675.7MiB / 7.317GiB,9.02%,330MB / 1.15GB,54.3MB / 3.19GB
17:29:31,facultylens-perf-ai-service,0.13%,414.9MiB / 7.317GiB,5.54%,144MB / 7.06MB,553MB / 0B
