ts,container,cpu_pct,mem_used,mem_pct,net_io,block_io
17:56:30,facultylens-perf-scheduler,0.08%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:30,facultylens-perf-app,4.42%,65.54MiB / 7.317GiB,0.87%,47.4MB / 15.1MB,0B / 713kB
17:56:30,facultylens-perf-ai-service,0.11%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:30,facultylens-perf-nginx,0.32%,15.51MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:30,facultylens-perf-redis,0.56%,11.2MiB / 7.317GiB,0.15%,664MB / 2.03GB,44.2MB / 839MB
17:56:30,facultylens-perf-mysql,3.03%,787.2MiB / 7.317GiB,10.51%,452MB / 1.48GB,54.4MB / 4.11GB
17:56:38,facultylens-perf-worker,0.01%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:38,facultylens-perf-scheduler,0.07%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:38,facultylens-perf-app,8.30%,65.48MiB / 7.317GiB,0.87%,47.9MB / 15.5MB,0B / 713kB
17:56:38,facultylens-perf-ai-service,0.11%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:38,facultylens-perf-nginx,0.64%,15.52MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:38,facultylens-perf-redis,3.06%,11.49MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 839MB
17:56:38,facultylens-perf-mysql,4.25%,787MiB / 7.317GiB,10.50%,453MB / 1.48GB,54.4MB / 4.11GB
17:56:45,facultylens-perf-worker,0.01%,52.81MiB / 7.317GiB,0.70%,34.5MB / 33.2MB,0B / 709kB
17:56:45,facultylens-perf-scheduler,0.08%,32.28MiB / 7.317GiB,0.43%,1.83kB / 911B,0B / 709kB
17:56:45,facultylens-perf-app,5.64%,65.57MiB / 7.317GiB,0.88%,48.5MB / 15.9MB,0B / 713kB
17:56:45,facultylens-perf-ai-service,0.11%,472.1MiB / 7.317GiB,6.30%,20.7MB / 36.6MB,0B / 0B
17:56:45,facultylens-perf-nginx,0.49%,16.07MiB / 7.317GiB,0.21%,1.39GB / 1.42GB,14.1MB / 4.1kB
17:56:45,facultylens-perf-redis,0.59%,10.96MiB / 7.317GiB,0.15%,665MB / 2.03GB,44.2MB / 839MB
17:56:45,facultylens-perf-mysql,3.36%,787.2MiB / 7.317GiB,10.51%,453MB / 1.48GB,54.4MB / 4.12GB
